Region,Local_date,Time zone,DF,D,NG,TI,Sum (NG),NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,Sum (Trade),Sum (Imports),Sum (Exports),CAN,MEX,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,Positive Gen from COL,Positive Gen from NG,Positive Gen from OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
US48,02Oct2015,Eastern,"9,952,072","9,970,480","9,833,242","-78,855",,,,,,,,,,,"-153,573","158,701","5,128","-155,926","2,353",,,,,,,,,,,,,,,,,,
US48,03Oct2015,Eastern,"9,197,528","9,246,900","9,130,950","-43,373",,,,,,,,,,,"-132,103","134,067","1,964","-132,678",575,,,,,,,,,,,,,,,,,,
US48,04Oct2015,Eastern,"8,934,535","8,895,863","8,779,570","-32,687",,,,,,,,,,,"-123,997","124,604",607,"-123,159",-838,,,,,,,,,,,,,,,,,,
US48,05Oct2015,Eastern,"9,817,521","9,815,993","9,689,356","-72,343",,,,,,,,,,,"-132,445","133,008",563,"-132,056",-389,,,,,,,,,,,,,,,,,,
US48,06Oct2015,Eastern,"10,046,127","10,092,793","9,964,302","-98,497",,,,,,,,,,,"-128,433","129,101",668,"-128,001",-432,,,,,,,,,,,,,,,,,,
US48,07Oct2015,Eastern,"10,208,402","10,293,707","10,157,658","-64,719",,,,,,,,,,,"-111,223","113,222","1,999","-110,970",-253,,,,,,,,,,,,,,,,,,
US48,08Oct2015,Eastern,"10,380,375","10,494,764","10,354,093","-83,920",,,,,,,,,,,"-106,695","107,337",642,"-106,142",-553,,,,,,,,,,,,,,,,,,
US48,09Oct2015,Eastern,"10,388,409","10,437,528","10,355,029","-87,994",,,,,,,,,,,"-114,393","115,267",874,"-114,299",-94,,,,,,,,,,,,,,,,,,
US48,10Oct2015,Eastern,"9,449,920","9,530,233","9,376,247","-63,034",,,,,,,,,,,"-108,601","110,145","1,544","-109,181",580,,,,,,,,,,,,,,,,,,
US48,11Oct2015,Eastern,"9,307,580","9,378,577","9,237,764","-52,994",,,,,,,,,,,"-107,831","109,136","1,305","-107,865",34,,,,,,,,,,,,,,,,,,
US48,12Oct2015,Eastern,"10,206,494","10,394,400","10,247,336","-77,698",,,,,,,,,,,"-106,474","108,032","1,558","-107,805","1,331",,,,,,,,,,,,,,,,,,
US48,13Oct2015,Eastern,"10,256,736","10,484,550","10,299,685","-75,444",,,,,,,,,,,"-135,428","137,008","1,580","-136,746","1,318",,,,,,,,,,,,,,,,,,
US48,14Oct2015,Eastern,"10,206,622","10,341,535","10,179,122","-77,055",,,,,,,,,,,"-125,811","128,022","2,211","-128,022","2,211",,,,,,,,,,,,,,,,,,
US48,15Oct2015,Eastern,"10,231,281","10,276,801","10,143,495","-49,952",,,,,,,,,,,"-103,219","109,801","6,582","-105,915","2,696",,,,,,,,,,,,,,,,,,
US48,16Oct2015,Eastern,"9,940,594","9,967,076","9,875,822","-52,750",,,,,,,,,,,"-92,946","95,068","2,122","-94,202","1,256",,,,,,,,,,,,,,,,,,
US48,17Oct2015,Eastern,"9,219,200","9,255,161","9,159,376","-44,750",,,,,,,,,,,"-93,846","97,307","3,461","-95,280","1,434",,,,,,,,,,,,,,,,,,
US48,18Oct2015,Eastern,"9,133,464","9,130,613","9,029,083","-64,357",,,,,,,,,,,"-104,419","105,618","1,199","-104,861",442,,,,,,,,,,,,,,,,,,
US48,19Oct2015,Eastern,"9,967,973","9,970,461","9,874,496","-43,702",,,,,,,,,,,"-106,378","107,463","1,085","-106,420",42,,,,,,,,,,,,,,,,,,
US48,20Oct2015,Eastern,"9,951,472","9,993,223","9,881,161","-27,202",,,,,,,,,,,"-110,677","111,285",608,"-110,508",-169,,,,,,,,,,,,,,,,,,
US48,21Oct2015,Eastern,"9,943,383","10,089,761","9,987,888","-70,170",,,,,,,,,,,"-103,360","104,445","1,085","-103,809",449,,,,,,,,,,,,,,,,,,
US48,22Oct2015,Eastern,"9,945,381","10,038,960","9,970,428","-110,718",,,,,,,,,,,"-106,663","107,304",641,"-106,517",-146,,,,,,,,,,,,,,,,,,
